image_id,image_path,caption_1,caption_2,caption_3,caption_4,caption_5,caption_generado
img_00020,/app/MCC225/Semana7/data/processed/images/imagen_00020.jpg,"a boy in a red shirt , in front of a long blue wall , raises his eyebrow at the camera","A boy in a red shirt with stripes standing near a blue , brick wall with handicap signs .",An African American boy stands in front of a blue building in the handicapped space .,The boy in the orange shirt looks backwards .,The boy in the red shirt is next to a blue wall .,a young boy walking down the sidewalk
img_00021,/app/MCC225/Semana7/data/processed/images/imagen_00021.jpg,A brown dog is carrying a wet stick on the shore of the ocean .,A dog bounds across the sandy beach with a stick in his mouth and water splashing off his paws .,"A wet , blond dog carries a stick on the shore .",The dog is running along the beach next to the ocean with a stick in its mouth .,"The wet , brown dog has a stick in his mouth and is running in the sand next to the water .",a dog running on the beach with a stick in its mouth
img_00022,/app/MCC225/Semana7/data/processed/images/imagen_00022.jpg,Two dogs are racing on a ractrack .,two dogs race across the track .,Two greyhounds race,Two greyhounds with muzzles race along the inside curb of a railed dirt track .,Two racing dogs run around a track .,a dog running on a track with a person in the background
img_00023,/app/MCC225/Semana7/data/processed/images/imagen_00023.jpg,A baseball pitcher with Shelton on his shirt throws the ball .,"A baseball player in a black and orange shirt , and with a glove on , pitches the ball .",A male dressed in a sports outfit tries to catch a baseball .,A man playing baseball .,The baseball player is running after the ball .,a baseball player throwing a ball on a field
img_00024,/app/MCC225/Semana7/data/processed/images/imagen_00024.jpg,A brown dog wades through water and walks toward a rock .,A dog has waded through shallow water to reach a rock outcropping .,A light brown dog is splashing in the water with its paw .,A small brown dog is about ready to exit the water after a swim .,A yellow dog in shallow water .,a dog is wadi in the water
img_00025,/app/MCC225/Semana7/data/processed/images/imagen_00025.jpg,A group of 5 girls in school uniforms are standing together and waiting to cross the street while one girl takes a picture .,A group of people are standing together outside as one takes a photograph .,A group of school girls are standing together while one is taking pictures .,A group of young women stand together .,Girls in school uniforms .,a group of people walking down a street
img_00026,/app/MCC225/Semana7/data/processed/images/imagen_00026.jpg,A boy wearing a jean jacket with his hand on his chest smiling at the camera .,a boy with a bruised nose and writing on his hands is standing in a video rental store .,A boy with writing on his hand is standing in a store .,A young man in a jean jacket smiles for the camera inside a store .,A young man with a denim jacket and writing on his hand smiles in front of a bookcase full of videos .,a young man in a store holding a book
img_00027,/app/MCC225/Semana7/data/processed/images/imagen_00027.jpg,A group of people in front of a house .,"A man in stripes , a woman in sunglasses , and a child in a blue hat in front of a brick building .",A woman in sunglasses and a blue flowered shirt stands while a boy and a man sit nearby .,A woman wearing sunglasses and a flowered shirt looks to the left .,"Three adults and one child are waiting outside of a building , perhaps a school .",a group of people sitting on a bench
img_00028,/app/MCC225/Semana7/data/processed/images/imagen_00028.jpg,A woman stands in front of a display case and another woman looks at a digital camera,A woman stands tall in front of a glass display while another woman takes a picture of something .,A woman stands with her arms out at her sides while another takes a picture .,A woman stands with her arms out in a store while another woman holds a camera .,One woman is taking a picture and another woman is standing sideways with her arm out .,two women standing in front of a glass case
img_00029,/app/MCC225/Semana7/data/processed/images/imagen_00029.jpg,A snowboarder jumps high into the air off of a snowy ramp .,A snowboarder jumps off a ramp .,Man on a snowboard performing a trick high in the air .,Person in a purple coat making a jump on a snowboard .,Snowboarder jumps off high ramp over icy landscape .,a snowboarder in mid air
img_00030,/app/MCC225/Semana7/data/processed/images/imagen_00030.jpg,A group of mountain climbers,A group of people walking in a line through the snow toward a mountain .,A line of people are making their way through snow covered mountains .,People are walking through a snow covered field with a mountain the background .,People facing mountains in the snow .,a group of people walking up a snow covered mountain
img_00031,/app/MCC225/Semana7/data/processed/images/imagen_00031.jpg,A black and white dog is jumping through a black and white hoop .,A black and white dog jumps through a black and white hoop .,A brown and white dog jumping through a black and white hoop .,A dog jumping through a black and white hoop .,A dog jumping through a ring .,a dog jumping through a hoop on a course
img_00032,/app/MCC225/Semana7/data/processed/images/imagen_00032.jpg,"A girl using a laptop , another girl , and a boy looking at his cellphone .",A group of people sit against a building and use electronics .,Three people sit near a street .,Three people sitting in front of a store on a bench .,Three young people sit outside and engage with electronic devices .,a group of people sitting outside a building
img_00033,/app/MCC225/Semana7/data/processed/images/imagen_00033.jpg,A dog races while wearing number 6 .,A greyhound wearing a muzzle and the number six on a yellow jacket is running on a dog track .,a muzzle greyhound dog running on a track,A tan greyhound wearing a gold shirt with a number on it runs down a track .,muxzzled greyhound leaping in race with yellow jacket .,a greyhound racing at night
img_00034,/app/MCC225/Semana7/data/processed/images/imagen_00034.jpg,A group of people stand at the edge of a cliff over the ocean .,A group of three boy scouts rest on a bluff overlooking the ocean .,Three men stand on a cliff overlooking a lake .,Three scouts are on top of a cliff overlooking the ocean .,Two men are sitting on a rock near the ocean with another man standing nearby .,two people standing on a cliff overlooking the ocean
img_00035,/app/MCC225/Semana7/data/processed/images/imagen_00035.jpg,A couple holding hands and another woman are walking down a wooded trail .,A couple holding hands and a woman standing beside them pose on a tree lined dirt road .,Three friends on a stroll in the forest .,Three people stand on a path through the woods .,Two women and a man posing on a rural path,a man and woman walking down a path in the woods
img_00036,/app/MCC225/Semana7/data/processed/images/imagen_00036.jpg,A car sponsored by Riwal is smoking its tires on a wet road .,A race car drives along a track in the rain,A racing car is driving around a wet track with its headlights on .,A small race car with advertising is driving on a rainy track .,A sponsored race car is driving with lights on a wet raceway .,a car driving on a wet track during the race
img_00037,/app/MCC225/Semana7/data/processed/images/imagen_00037.jpg,A bearded man wearing a bandanna is pointing his finger whilst riding a bicycle .,A man bicycles down the street and points his finger,A man holds an object with his hand while riding his bike down the street .,A man with long hair riding a bicycle gives the peace sign .,Man in blue shirt and black cap riding bike down street flashing peace sign,a man riding a bike down a street
img_00038,/app/MCC225/Semana7/data/processed/images/imagen_00038.jpg,A crowd of people waving red flags are passing under a bridge .,A group of people walk down the street carrying red flags .,"A large group of people walking down a street , some carrying flags or banners .",Many people walking together on pavement near a brick building with other people looking on .,many people walk in the street .,a large group of people
img_00039,/app/MCC225/Semana7/data/processed/images/imagen_00039.jpg,A man in sunglasses gets ready to pull a chair out to sit down for his meal .,A man wearing sunglasses stands by a table at a cafe .,Man about to pull out chair and sit down at a restaurant .,Man at eatery getting ready to sit down .,The large man grabs a seat at a restaurant .,a man in a white shirt
img_00040,/app/MCC225/Semana7/data/processed/images/imagen_00040.jpg,A boy holding a racket is standing in the grass .,A boy in a purple shirt and blue jeans is standing in the grass holding a round toy with a handle .,A boy playes with a stringless racket in his backyard .,a boy walks through the lawn .,A child in purple clothing is playing with a toy inside a yard with other toys and a fence .,a young boy playing with a toy in the backyard
img_00041,/app/MCC225/Semana7/data/processed/images/imagen_00041.jpg,Two blond girls are playing together .,Two girls enjoy themselves whilst wind blows through their hair .,Two girls with long hair jumping on a trampoline .,Two little blonde girls twirl their hair .,Two little girls are playing on a trampoline .,two little girls playing on a black surface
img_00042,/app/MCC225/Semana7/data/processed/images/imagen_00042.jpg,Four bicyclists ride along a dirt road between two wire fences .,Four cyclists on a country trail are passing by an electricity pylon .,The four bicyclists are riding through the desert .,three bikers bike across the dry land .,Three cyclists ride near mountain .,a group of people riding bikes on a dirt road
img_00043,/app/MCC225/Semana7/data/processed/images/imagen_00043.jpg,A dog climbing a steep dirt hill .,A dog climbs a hill .,a great Dane climbing a steep hill,A light brown dog is running up .,A light dog climbing a wall of dirt .,a dog running on a dirt road
img_00044,/app/MCC225/Semana7/data/processed/images/imagen_00044.jpg,A child spins on a merry-go-round .,Childern are playing on a merry go round as adults on a bench watch them .,Children play on a merry-go-round as adults look on from a bench .,Fathers watch as their children enjoy the spinning merry-go-round .,Two kids sit in the middle of a playground toy that spins around them .,a group of people sitting on a carousel
img_00045,/app/MCC225/Semana7/data/processed/images/imagen_00045.jpg,a brown dog is jumping up at a woman who is wearing a brown skirt .,A golden retriever is excitedly greeting a woman as a little dog walks towards the camera .,A tan dog jumping up at a woman in a skirt and a black and tan dog walking away .,A yellow dog jumps to greet a woman .,One dog is jumping at the lady while the other walks away .,a woman standing next to a dog on a porch
img_00046,/app/MCC225/Semana7/data/processed/images/imagen_00046.jpg,A man in the dooorway of a bus looking onward .,"A man standing at the door of a vehicle , with another sitting , glancing out the window .",People ride a bus or trolley .,some people riding an old bus,Three passengers on a train car .,a man and a woman sitting on a bus
img_00047,/app/MCC225/Semana7/data/processed/images/imagen_00047.jpg,A little girl is peaking out from behind a tree .,A little girl peering out from behind a tree .,A young girl hiding behind a tree in a forest .,A young girl peeking out from behind a tree in a wooded area .,A young girl wearing a striped dress peeks out from behind a tree .,a little girl climbing up a tree in the woods
